State_Municipality,num_of_total,num_of_total_rural,num_of_total_urban
20532,8,7,1
20533,3,0,3
20534,2,0,2
20535,3,2,1
20537,16,10,6
20539,2,0,2
20540,9,0,9
20541,1,0,1
20542,2,0,2
20543,2,0,2
20544,5,2,3
20545,11,3,8
20546,3,0,3
20547,2,0,2
20548,6,0,6
20549,11,7,4
20550,4,0,4
20551,21,6,15
20552,2,0,2
20553,4,0,4
20554,4,2,2
20555,7,4,3
20557,5,0,5
20558,2,0,2
20559,26,9,17
20560,6,2,4
20561,1,0,1
20562,2,0,2
20563,3,0,3
20564,2,0,2
20565,12,0,12
20566,4,3,1
20567,4,2,2
20568,1,0,1
20569,1,1,0
20570,22,11,11
21001,33,3,30
21002,8,4,4
21003,49,9,40
21004,41,0,41
21005,2,0,2
21006,15,7,8
21007,3,0,3
21008,10,5,5
21009,1,0,1
21010,41,28,13
21011,2,0,2
21012,5,2,3
21013,4,0,4
21014,3,2,1
21015,38,3,35
21016,5,2,3
21017,12,5,7
21018,6,1,5
21019,83,16,67
21020,3,0,3
21021,2,0,2
21022,8,2,6
21023,5,2,3
21024,1,0,1
21025,8,3,5
21026,8,1,7
21027,4,2,2
21028,1,0,1
21029,1,0,1
21030,1,0,1
21031,2,0,2
21032,2,0,2
21033,1,0,1
21034,10,0,10
21035,18,8,10
21036,10,3,7
21037,1,0,1
21038,4,0,4
21039,7,5,2
21040,2,0,2
21041,26,2,24
21042,8,4,4
21043,38,25,13
21044,13,6,7
21045,28,7,21
21046,3,0,3
21047,15,4,11
21048,10,0,10
21049,11,6,5
21050,12,8,4
21051,17,5,12
21052,2,0,2
21053,42,20,22
21054,13,5,8
21055,5,1,4
21056,4,3,1
21057,5,4,1
21058,13,6,7
21059,4,1,3
21060,3,2,1
21061,15,7,8
21062,5,2,3
21063,9,4,5
21064,13,9,4
21065,12,2,10
21066,9,6,3
21067,7,1,6
21068,9,7,2
21069,14,5,9
21070,6,4,2
21071,60,14,46
21072,24,14,10
21073,7,2,5
21074,32,4,28
21075,5,3,2
21076,15,11,4
21077,4,2,2
21078,9,6,3
21079,2,0,2
21080,1,0,1
21081,6,2,4
21082,8,3,5
21083,32,29,3
21084,2,0,2
21085,60,10,50
21086,10,9,1
21087,7,5,2
21088,4,3,1
21089,7,4,3
21090,5,0,5
21091,5,0,5
21092,6,3,3
21093,5,4,1
21094,24,8,16
21095,1,0,1
21096,4,2,2
21097,2,0,2
21098,6,2,4
21099,14,8,6
21100,9,7,2
21101,4,2,2
21102,4,0,4
21103,6,0,6
21104,9,2,7
21105,4,0,4
21106,9,2,7
21107,9,5,4
21108,11,4,7
21109,14,8,6
21110,21,0,21
21111,15,6,9
21112,7,2,5
21113,5,3,2
21114,665,5,660
21115,17,0,17
21116,22,16,6
21117,9,0,9
21118,14,7,7
21119,60,1,59
21120,4,0,4
21121,2,0,2
21122,2,0,2
21123,4,3,1
21124,7,3,4
21125,8,0,8
21126,3,0,3
21127,2,1,1
21128,8,2,6
21129,7,4,3
21130,2,0,2
21131,1,0,1
21132,72,5,67
21133,2,0,2
21134,8,1,7
21135,3,0,3
21136,5,0,5
21137,4,0,4
21138,6,0,6
21139,3,1,2
21140,56,1,55
21141,3,2,1
21142,14,3,11
21143,14,0,14
21144,7,0,7
21145,25,20,5
21146,1,0,1
21147,6,1,5
21148,9,2,7
21149,4,0,4
21150,4,1,3
21151,3,0,3
21152,6,3,3
21153,14,6,8
21154,52,10,42
21155,7,4,3
21156,120,6,114
21157,5,2,3
21158,6,4,2
21159,1,0,1
21160,4,2,2
21161,13,2,11
21162,3,0,3
21163,5,0,5
21164,60,8,52
21165,3,0,3
21166,5,2,3
21167,14,11,3
21168,4,0,4
21169,13,6,7
21170,12,4,8
21171,2,0,2
21172,23,13,10
21173,2,0,2
21174,38,4,34
21175,4,1,3
21176,2,0,2
21177,20,5,15
21178,11,7,4
21179,25,17,8
21180,20,5,15
21181,3,0,3
21182,2,0,2
21183,18,6,12
21184,4,3,1
21185,4,1,3
21186,33,17,16
21187,9,5,4
21188,8,2,6
21189,10,2,8
21190,1,0,1
21191,8,2,6
21192,3,2,1
21193,5,4,1
21194,16,7,9
21195,19,6,13
21196,2,0,2
21197,41,17,24
21198,2,1,1
21199,23,14,9
21200,6,3,3
21201,2,0,2
21202,10,2,8
21203,3,0,3
21204,6,3,3
21205,10,1,9
21206,5,2,3
21207,48,9,39
21208,59,35,24
21209,6,5,1
21210,9,2,7
21211,14,2,12
21212,19,10,9
21213,11,10,1
21214,5,1,4
21215,3,2,1
21216,2,0,2
21217,17,5,12
22001,36,20,16
22002,30,23,7
22003,21,15,6
22004,37,19,18
22005,21,6,15
22006,62,4,58
22007,20,3,17
22008,16,8,8
22009,30,11,19
22010,21,18,3
22011,41,4,37
22012,23,2,21
22013,22,19,3
22014,339,16,323
22015,11,7,4
22016,87,8,79
22017,25,0,25
22018,16,5,11
23001,33,1,32
23002,100,62,38
23003,12,0,12
23004,199,62,137
23005,307,3,304
23006,48,39,9
23007,38,31,7
23008,116,2,114
23009,29,13,16
23010,68,57,11
23011,15,0,15
24001,13,6,7
24002,7,4,3
24003,33,28,5
24004,9,4,5
24005,9,2,7
24006,13,10,3
24007,11,6,5
24008,17,6,11
24009,5,4,1
24010,19,11,8
24011,16,5,11
24012,22,14,8
24013,88,27,61
24014,16,11,5
24015,12,5,7
24016,19,8,11
24017,20,16,4
24018,13,9,4
24019,10,8,2
24020,52,12,40
24021,24,20,4
24022,14,7,7
24023,13,7,6
24024,56,22,34
24025,15,6,9
24026,8,6,2
24027,8,3,5
24028,261,12,249
24029,23,21,2
24030,8,5,3
24031,17,13,4
24032,24,16,8
24033,12,9,3
24034,12,9,3
24035,64,2,62
24036,25,17,8
24037,80,52,28
24038,10,7,3
24039,17,12,5
24040,31,20,11
24041,23,20,3
24042,7,3,4
24043,9,6,3
24044,11,7,4
24045,12,6,6
24046,10,5,5
24047,12,8,4
24048,3,0,3
24049,19,4,15
24050,24,9,15
24051,15,8,7
24052,7,3,4
24053,30,18,12
24054,40,33,7
24055,13,9,4
24056,7,4,3
24057,21,15,6
24058,12,6,6
24059,23,1,22
25001,158,20,138
25002,31,10,21
25003,75,67,8
25004,38,27,11
25005,28,16,12
25006,405,47,358
25007,50,38,12
25008,22,14,8
25009,39,10,29
25010,60,31,29
25011,113,37,76
25012,207,20,187
25013,55,40,15
25014,39,23,16
25015,58,13,45
25016,37,25,12
25017,71,50,21
25018,53,14,39
25019,22,4,18
25020,13,2,11
26001,5,1,4
26002,38,7,31
26003,87,79,8
26004,7,2,5
26005,6,4,2
26006,12,10,2
26007,2,0,2
26008,2,0,2
26009,6,4,2
26010,6,4,2
26011,4,2,2
26012,27,16,11
26013,2,0,2
26014,10,8,2
26015,5,3,2
26016,6,2,4
26017,62,30,32
26018,157,27,130
26019,21,7,14
26020,3,0,3
26021,7,5,2
26022,2,0,2
26023,13,8,5
26024,2,0,2
26025,28,16,12
26026,56,30,26
26027,11,4,7
26028,3,0,3
26029,84,37,47
26030,314,44,270
26031,4,2,2
26032,3,0,3
26033,85,57,28
26034,5,1,4
26035,14,9,5
26036,19,4,15
26037,3,0,3
26038,9,3,6
26039,8,3,5
26040,7,5,2
26041,6,0,6
26042,112,54,58
26043,68,9,59
26044,2,0,2
26045,7,5,2
26046,2,0,2
26047,13,6,7
26048,27,1,26
26049,10,8,2
26050,3,1,2
26051,15,11,4
26052,20,14,6
26053,2,0,2
26054,2,0,2
26055,67,15,52
26056,7,3,4
26057,5,3,2
26058,26,11,15
26059,4,2,2
26060,5,3,2
26061,11,9,2
26062,2,0,2
26063,3,1,2
26064,5,3,2
26065,6,4,2
26066,18,12,6
26067,4,2,2
26068,5,3,2
26069,16,13,3
26070,7,1,6
26071,14,6,8
26072,14,7,7
27001,75,49,26
27002,164,50,114
27003,91,45,46
27004,470,134,336
27005,144,64,80
27006,103,58,45
27007,39,14,25
27008,156,79,77
27009,43,32,11
27010,72,43,29
27011,52,33,19
27012,162,103,59
27013,82,45,37
27014,59,26,33
27015,72,49,23
27016,53,29,24
27017,73,49,24
28001,22,11,11
28002,31,13,18
28003,88,11,77
28004,7,4,3
28005,9,3,6
28006,16,11,5
28007,24,8,16
28008,8,6,2
28009,61,0,61
28010,6,2,4
28011,11,6,5
28012,30,7,23
28013,14,9,5
28014,5,0,5
28015,11,4,7
28016,28,13,15
28017,37,13,24
28018,7,3,4
28019,21,14,7
28020,6,4,2
28021,86,26,60
28022,265,37,228
28023,6,4,2
28024,7,0,7
28025,28,1,27
28026,8,6,2
28027,142,2,140
28028,5,2,3
28029,12,7,5
28030,10,0,10
28031,3,1,2
28032,265,17,248
28033,68,17,51
28034,19,12,7
28035,77,29,48
28036,3,2,1
28037,32,16,16
28038,161,0,161
28039,28,16,12
28040,57,7,50
28041,166,12,154
28042,13,8,5
28043,16,2,14
29001,7,2,5
29002,24,0,24
29003,9,7,2
29004,16,11,5
29005,61,5,56
29006,22,3,19
29007,5,2,3
29008,6,4,2
29009,6,4,2
29010,40,3,37
29011,4,2,2
29012,10,8,2
29013,58,11,47
29014,11,7,4
29015,22,8,14
29016,2,0,2
29017,2,0,2
29018,12,2,10
29019,7,0,7
29020,5,0,5
29021,10,5,5
29022,4,1,3
29023,19,4,15
29024,14,7,7
29025,22,0,22
29026,9,0,9
29027,5,0,5
29028,5,0,5
29029,8,2,6
29030,11,4,7
29031,11,2,9
29032,10,3,7
29033,83,0,83
29034,39,22,17
29035,2,0,2
29036,7,2,5
29037,4,2,2
29038,11,3,8
29039,14,0,14
29040,9,4,5
29041,11,0,11
29042,6,0,6
29043,12,0,12
29044,20,0,20
29045,2,0,2
29046,4,2,2
29047,2,0,2
29048,6,0,6
29049,3,0,3
29050,5,0,5
29051,2,0,2
29052,2,0,2
29053,2,0,2
29054,2,0,2
29055,2,0,2
29056,2,0,2
29057,2,0,2
29058,3,0,3
29059,2,0,2
29060,3,0,3
30001,10,7,3
30002,6,0,6
30003,45,10,35
30004,24,18,6
30005,7,2,5
30006,16,13,3
30007,5,3,2
30008,10,8,2
30009,17,9,8
30010,30,18,12
30011,23,10,13
30012,8,3,5
30013,18,2,16
30014,15,4,11
30015,14,8,6
30016,18,5,13
30017,3,0,3
30018,1,0,1
30019,9,6,3
30020,10,9,1
30021,14,6,8
30022,8,5,3
30023,37,30,7
30024,8,5,3
30025,15,10,5
30026,12,0,12
30027,12,8,4
30028,82,1,81
30029,8,7,1
30030,18,3,15
30031,18,16,2
30032,25,11,14
30033,17,12,5
30034,18,5,13
30035,5,3,2
30036,3,0,3
30037,4,1,3
30038,28,1,27
30039,123,3,120
30040,13,6,7
30041,5,3,2
30042,6,4,2
30043,13,8,5
30044,80,9,71
30045,40,6,34
30046,7,5,2
30047,21,14,7
30048,35,11,24
30049,16,12,4
30050,6,4,2
30051,9,5,4
30052,6,0,6
30053,13,7,6
30054,11,6,5
30055,7,5,2
30056,11,9,2
30057,10,8,2
30058,42,38,4
30059,11,4,7
30060,6,4,2
30061,52,35,17
30062,5,1,4
30063,11,9,2
30064,2,0,2
30065,22,12,10
30066,21,14,7
30067,7,4,3
30068,17,6,11
30069,15,8,7
30070,22,18,4
30071,22,9,13
30072,35,30,5
30073,17,7,10
30074,4,2,2
30075,8,4,4
30076,12,10,2
30077,20,8,12
30078,11,8,3
30079,7,5,2
30080,10,7,3
30081,7,0,7
30082,8,5,3
30083,42,38,4
30084,5,2,3
30085,28,2,26
30086,18,9,9
30087,170,0,170
30088,3,1,2
30089,16,2,14
30090,7,4,3
30091,22,15,7
30092,11,4,7
30093,3,0,3
30094,16,8,8
30095,14,11,3
30096,2,0,2
30097,6,0,6
30098,1,0,1
30099,6,2,4
30100,12,7,5
30101,18,12,6
30102,41,6,35
30103,5,2,3
30104,13,10,3
30105,21,7,14
30106,2,0,2
30107,7,4,3
30108,83,36,47
30109,30,19,11
30110,7,5,2
30111,11,5,6
30112,13,8,5
30113,3,1,2
30114,13,8,5
30115,16,5,11
30116,8,0,8
30117,10,7,3
30118,63,0,63
30119,5,0,5
30120,4,0,4
30121,21,16,5
30122,8,4,4
30123,64,36,28
30124,67,39,28
30125,18,12,6
30126,14,7,7
30127,13,9,4
30128,28,6,22
30129,19,11,8
30130,30,16,14
30131,81,0,81
30132,5,2,3
30133,17,2,15
30134,6,4,2
30135,7,0,7
30136,3,0,3
30137,4,1,3
30138,13,0,13
30139,6,2,4
30140,2,0,2
30141,68,31,37
30142,16,11,5
30143,37,18,19
30144,18,11,7
30145,6,1,5
30146,2,0,2
30147,16,9,7
30148,17,10,7
30149,27,16,11
30150,9,7,2
30151,21,16,5
30152,21,16,5
30153,5,3,2
30154,14,12,2
30155,47,35,12
30156,5,3,2
30157,15,13,2
30158,13,10,3
30159,17,13,4
30160,65,47,18
30161,20,15,5
30162,2,0,2
30163,3,1,2
30164,5,2,3
30165,9,7,2
30166,5,3,2
30167,16,14,2
30168,15,10,5
30169,18,8,10
30170,7,5,2
30171,1,0,1
30172,10,7,3
30173,34,26,8
30174,53,25,28
30175,36,22,14
30176,4,0,4
30177,10,8,2
30178,5,1,4
30179,2,0,2
30180,17,14,3
30181,25,13,12
30182,7,4,3
30183,26,6,20
30184,10,7,3
30185,2,0,2
30186,3,1,2
30187,3,1,2
30188,9,7,2
30189,65,14,51
30190,5,0,5
30191,15,4,11
30192,13,6,7
30193,199,2,197
30194,6,1,5
30195,4,2,2
30196,6,2,4
30197,8,5,3
30198,14,11,3
30199,5,2,3
30200,6,4,2
30201,37,34,3
30202,14,10,4
30203,8,6,2
30204,19,8,11
30205,13,6,7
30206,7,0,7
30207,23,12,11
30208,6,0,6
30209,15,8,7
30210,28,27,1
30211,14,2,12
30212,10,6,4
31001,2,0,2
31002,3,0,3
31003,2,0,2
31004,3,1,2
31005,1,0,1
31006,2,1,1
31007,2,0,2
31008,2,0,2
31009,1,0,1
31010,1,0,1
31011,2,0,2
31012,3,1,2
31013,6,1,5
31014,1,0,1
31015,1,0,1
31016,2,1,1
31017,6,4,2
31018,2,1,1
31019,14,5,9
31020,2,0,2
31021,4,1,3
31022,3,1,2
31023,1,0,1
31024,2,0,2
31025,3,0,3
31026,1,0,1
31027,3,0,3
31028,1,0,1
31029,2,0,2
31030,5,4,1
31031,2,1,1
31032,6,3,3
31033,6,2,4
31034,3,1,2
31035,2,0,2
31036,2,0,2
31037,1,0,1
31038,9,2,7
31039,1,0,1
31040,9,2,7
31041,14,0,14
31042,3,1,2
31043,2,0,2
31044,3,1,2
31045,1,0,1
31046,1,0,1
31047,3,1,2
31048,10,5,5
31049,1,0,1
31050,360,4,356
31051,1,0,1
31052,13,3,10
31053,4,0,4
31054,1,0,1
31055,2,1,1
31056,11,6,5
31057,5,2,3
31058,9,5,4
31059,21,1,20
31060,1,0,1
31061,4,2,2
31062,1,0,1
31063,3,1,2
31064,1,0,1
31065,2,0,2
31066,3,1,2
31067,1,0,1
31068,2,1,1
31069,6,3,3
31070,1,0,1
31071,1,0,1
31072,1,0,1
31073,3,0,3
31074,1,0,1
31075,2,0,2
31076,5,1,4
31077,1,0,1
31078,1,0,1
31079,19,7,12
31080,2,0,2
31081,2,0,2
31082,1,0,1
31083,2,0,2
31084,1,0,1
31085,9,3,6
31086,1,0,1
31087,2,1,1
31088,1,0,1
31089,17,0,17
31090,2,0,2
31091,6,2,4
31092,5,4,1
31093,6,2,4
31094,1,0,1
31095,1,0,1
31096,35,14,21
31097,3,1,2
31098,9,3,6
31099,2,1,1
31100,2,0,2
31101,11,0,11
31102,56,10,46
31103,1,0,1
31104,9,6,3
31105,1,0,1
31106,3,1,2
32001,8,2,6
32002,4,2,2
32003,4,0,4
32004,4,1,3
32005,17,0,17
32006,9,2,7
32007,17,9,8
32008,7,1,6
32009,10,4,6
32010,105,30,75
32011,3,0,3
32012,7,4,3
32013,3,0,3
32014,31,25,6
32015,4,1,3
32016,18,11,7
32017,103,6,97
32018,7,3,4
32019,21,9,12
32020,38,12,26
32021,7,5,2
32022,12,1,11
32023,10,5,5
32024,31,8,23
32025,10,3,7
32026,31,27,4
32027,6,4,2
32028,2,0,2
32029,12,4,8
32030,4,0,4
32031,14,7,7
32032,9,2,7
32033,5,2,3
32034,21,11,10
32035,14,10,4
32036,26,13,13
32037,9,0,9
32038,57,46,11
32039,44,14,30
32040,20,10,10
32041,5,4,1
32042,43,24,19
32043,1,0,1
32044,15,7,8
32045,12,5,7
32046,11,4,7
32047,12,5,7
32048,28,5,23
32049,42,28,14
32050,11,6,5
32051,30,17,13
32052,11,4,7
32053,11,2,9
32054,17,10,7
32055,19,10,9
32056,82,5,77
32057,5,0,5
32058,1,0,1
