clues,state_code,mun_code,loc_code,inst_code,est_type,typology,status_code,start_date,longitude,latitud,admin_inst,care_level,unit_stratum,last_move,claveentidad,entidad,clavejurisdicción,jurisdicción,clavemunicipio,municipio,clavelocalidad,localidad,tipodeestablecimiento,tipología,nombredelestablecimiento,unidades,e13,c1301,c1302,c1303,c1304,c1305,c1306,c1307,c1308,c1309,c1310,c1311,c1312,c1313,c1314,c1315,c1316,c1317,c1318,c1319,c1320,c1321,e14,c1400,c1401,c1402,c1403,c1404,c1405,c1406,c1408,e15,c1501,c1502,c1504,c1505,c1506,c1507,c1508,c1509,c1601,c1602,c1701,c1702,e18,c1801,c1803,c1804,c1805,c1806,c1807,c1808,c1809,c1810,c1811,c1812,c1813,c1814,c1815,c1816,c1817,c1818,c1819,c1820,c1821,c1822,c1823,c1824,c1825,c1826,e19,c1901,c1902,c1903,c1904,e20,c2001,c2002,c2003,c2004,c2005,e21,c2101,c2102,c2103,c2104,e22,c2201,c2202,c2204,e23,c2301,c2302,c2303,c2304,c2305,c2306,c2308,e24,c2401,c2402,c2403,c2404,c2405,c2406,c2407,c2408,c2409,c2410,c2411,c2412,c2413,c2414,c2415,e25,c2501,c2502,c2503,c2504,c2506,c1706,c1707,c1710,c1725,c1729,c1735,c1738,c1745,c1746,c1747,c1749,c1730,c1750
DGSSA001014,10,12,1,SSA,1,D,1,1990-01-01,-103.504,25.5406,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,1,LERDO,CE,D,COL. CESAR GUILLERMO MERAZ,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001026,10,12,1,SSA,1,D,1,2000-04-01,-103.539,25.5389,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,1,LERDO,CE,D,COL. SAN ISIDRO,1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001031,10,12,1,SSA,1,I,1,1992-07-01,-103.513,25.5425,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,1,LERDO,CE,I,DR. ROBERTO GARCIA SOSA,1,5,4,0,0,0,0,1,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,0,18,12,0,2,4,4,1,0,3,4,2,0,0,1,0,1,0,6,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,9,5,0,0,2,2,,1,,0,0,0,0,0,0,0,0,0,2016
DGSSA001043,10,12,3,SSA,1,A,1,1998-10-01,-103.568,25.520599,SESA,1,1,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,3,LOS ANGELES,CE,A,LOS ANGELES,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001055,10,12,7,SSA,1,B,1,2001-03-01,-103.522,25.503901,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,7,CARLOS REAL (SAN CARLOS),CE,B,CARLOS REAL,1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001060,10,12,21,SSA,1,A,1,1987-04-01,-103.651,25.5061,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,21,LEON GUZMAN,CE,A,LEON GUZMAN,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001072,10,12,22,SSA,1,B,1,1991-03-01,-103.691,25.492599,SESA,1,1,ALTA,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,22,JUAN E. GARCIA,CE,B,JUAN E. GARCIA,1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001084,10,12,23,SSA,1,A,1,1998-11-01,-103.67,25.4648,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,23,LA LOMA,CE,A,LA LOMA,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001096,10,12,24,SSA,1,A,1,1991-01-01,-103.609,25.632999,SESA,1,1,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,24,LA LUZ,CE,A,LA LUZ,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
DGSSA001101,10,12,28,SSA,1,B,1,1974-01-01,-103.419,25.3976,SESA,1,2,CAMBIO,10,DURANGO,2,GOMEZ PALACIO,12,LERDO,28,NAZARENO,CE,B,NAZARENO,1,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,2016
